Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
3,27/04/2016,49,5,30,500,634,2,14,01/04/2016,1,58.101,28.687,55.5359665,29.414,50.62563467,19,26,503.6
3,27/04/2016,49,5,30,500,634,2,14,01/04/2016,2,25.507,,28.09504252,,,19,26,503.6
3,11/05/2016,49,5,30,800,636,2,12,31/03/2016,1,36.788,23.572,37.50826769,13.216,35.92475807,19,41,801.3
3,11/05/2016,49,5,30,800,636,2,12,31/03/2016,2,32.57,,33.88250857,,,19,41,801.3
3,11/05/2016,49,5,30,800,636,2,13,31/03/2016,1,55.792,35.325,52.44423065,20.467,36.68447089,19,41,801.3
3,11/05/2016,49,5,30,800,636,2,13,31/03/2016,2,57.218,,54.67500451,,,19,41,801.3
3,31/03/2016,49,5,30,76,639,2,13,27/03/2016,1,10.18,2.018,18.65189474,8.162,80.17681729,19,4,75.4
3,31/03/2016,49,5,30,76,639,2,13,27/03/2016,2,9.808,,17.2775446,,,19,4,75.4
3,31/03/2016,49,5,30,76,639,2,14,27/03/2016,1,9.242,1.841,17.31160284,7.401,80.08006925,19,4,75.4
3,31/03/2016,49,5,30,76,639,2,14,27/03/2016,2,6.042,,14.60697793,,,19,4,75.4
3,20/04/2016,49,5,30,400,640,2,12,30/03/2016,1,40.609,17.835,39.61674463,22.774,56.08116427,19,21,404.7
3,20/04/2016,49,5,30,400,640,2,12,30/03/2016,2,49.608,,45.72619179,,,19,21,404.7
3,20/04/2016,49,5,30,400,640,2,13,30/03/2016,1,46.079,19.682,44.39491531,26.397,57.28639944,19,21,404.7
3,20/04/2016,49,5,30,400,640,2,13,30/03/2016,2,41.091,,43.30505164,,,19,21,404.7
3,07/04/2016,49,6,31,400,642,2,14,23/03/2016,1,42.132,19.502,46.35126066,22.63,53.71214279,29,15,404
3,07/04/2016,49,6,31,400,642,2,14,23/03/2016,2,38.488,,40.99810676,,,29,15,404
3,07/04/2016,49,6,31,400,642,2,15,23/03/2016,1,40.075,18.656,44.69142233,21.419,53.44728634,29,15,404
3,07/04/2016,49,6,31,400,642,2,15,23/03/2016,2,39.896,,43.3100602,,,29,15,404
4,10/05/2016,49,7,40,0,822,2,12,10/05/2016,2,2.009,,9.968138827,,,19,0,0
3,25/03/2016,49,6,31,0,691,2,12,25/03/2016,2,2.004,,12.2675537,,,29,0,0
4,10/05/2016,49,7,40,0,894,2,11,10/05/2016,1,2.004,0.361,9.261782623,1.643,81.98602794,19,0,0
5,27/06/2016,49,9,51,0,1136,2,13,27/06/2016,2,2.001,,14.48256496,,,15,0,0
3,01/04/2016,49,6,31,90,644,2,13,28/03/2016,1,14.342,3.174,23.12153783,11.168,77.86919537,29,4,93.4
3,01/04/2016,49,6,31,90,644,2,13,28/03/2016,2,9.132,,14.19627563,,,29,4,93.4
3,01/04/2016,49,6,31,90,644,2,14,28/03/2016,1,14.225,3.154,22.70382354,11.071,77.82776801,29,4,93.4
3,01/04/2016,49,6,31,90,644,2,14,28/03/2016,2,9.095,,14.55989743,,,29,4,93.4
1,14/01/2016,49,1,10,0,83,2,9,14/01/2016,2,1.987,,6.940325425,,,19,0,0
2,16/02/2016,49,3,20,0,293,2,9,16/02/2016,1,1.155,0.225,4.503647002,0.93,80.51948052,19,0,0
1,14/01/2016,49,2,11,0,162,2,10,14/01/2016,2,1.971,,7.625641231,,,36,0,0
4,10/05/2016,49,7,40,0,884,2,11,10/05/2016,2,1.97,,8.225793524,,,19,0,0
3,13/04/2016,49,6,31,600,647,2,11,22/03/2016,1,24.815,21.658,26.90100071,3.157,12.72214387,29,22,612.6
3,13/04/2016,49,6,31,600,647,2,11,22/03/2016,2,21.256,,24.93864508,,,29,22,612.6
3,13/04/2016,49,6,31,600,647,2,12,22/03/2016,1,24.123,21.097,24.40473209,3.026,12.5440451,29,22,612.6
3,13/04/2016,49,6,31,600,647,2,12,22/03/2016,2,24.318,,28.50674654,,,29,22,612.6
3,13/04/2016,49,6,31,600,648,2,11,22/03/2016,1,21.494,18.603,26.47927957,2.891,13.45026519,29,22,612.6
3,13/04/2016,49,6,31,600,648,2,11,22/03/2016,2,15.619,,21.49575775,,,29,22,612.6
3,13/04/2016,49,6,31,600,648,2,12,22/03/2016,1,21.993,19.274,26.27793527,2.719,12.3630246,29,22,612.6
3,13/04/2016,49,6,31,600,648,2,12,22/03/2016,2,19.054,,23.63441485,,,29,22,612.6
